"name","springdist","distprev","elevation","elevationdiff","amenities"
" Springer Mt. ","0.0","0.0","0.3782E4","0.0"," None "
" Springer Mt. Shelter (pic) ","0.2E0","0.2E0","0.373E4","-0.52E2"," S,C,W "
" USFS 42 ","0.1E1","0.8E0","0.335E4","-0.38E3"," None "
" Stover Creek Shelter (pic) ","0.28E1","0.18E1","0.287E4","-0.48E3"," S, W "
" Stover Creek ","0.38E1","0.1E1","0.266E4","-0.21E3"," W "
" Three Forks, USFS 58 ","0.43E1","0.5E0","0.253E4","-0.13E3"," C, W "
" Trail to Long Creek Falls ","0.51E1","0.8E0","0.28E4","0.27E3"," W "
" Logging Road ","0.6E1","0.9E0","0.3E4","0.2E3"," None "
" Hawk Mountain Shelter (pic) ","0.78E1","0.18E1","0.32E4","0.2E3"," S, W* "
" Hightower Gap, USFS 42/69 ","0.83E1","0.5E0","0.2854E4","-0.346E3"," None "
" Horse Gap ","0.102E2","0.19E1","0.2673E4","-0.181E3"," None "
" Sassafras Mt. ","0.112E2","0.1E1","0.33E4","0.627E3"," None "
" Cooper Gap, USFS 42/80 ","0.118E2","0.6E0","0.28E4","-0.5E3"," None "
" Justus Mt. ","0.124E2","0.6E0","0.3224E4","0.424E3"," None "
" Justus Creek ","0.138E2","0.14E1","0.255E4","-0.674E3"," C,W "
" Gooch Mountain Shelter (pic) ","0.151E2","0.13E1","0.3E4","0.45E3"," S,W "
" Gooch Gap, USFS 42 ","0.165E2","0.14E1","0.2784E4","-0.216E3"," W "
" Ramrock Mt. ","0.187E2","0.22E1","0.326E4","0.476E3"," None "
" Woody Gap, GA 60 ","0.201E2","0.14E1","0.315E4","-0.11E3"," W "
" Big Cedar Mt. ","0.211E2","0.1E1","0.3737E4","0.587E3"," None "
" Dan Gap ","0.224E2","0.13E1","0.33E4","-0.437E3"," None "
" Burnett Field Mt. ","0.252E2","0.28E1","0.348E4","0.18E3"," None "
" Jarrard Gap ","0.257E2","0.5E0","0.325E4","-0.23E3"," W,C*,Sh* "
" Woods Hole Shelter (pic) ","0.27E2","0.13E1","0.36E4","0.35E3"," S*,W* "
" Bird Gap, Freeman Trail ","0.271E2","0.1E0","0.365E4","0.5E2"," None "
" Slaughter Creek Campsite ","0.275E2","0.4E0","0.38E4","0.15E3"," C,W "
" Flatrock Gap, Byron Reese Memorial Trail ","0.297E2","0.22E1","0.345E4","-0.35E3","W "
" Neels Gap, US 19/129 ","0.307E2","0.1E1","0.3125E4","-0.325E3"," R,L,O,Sh,Cl "
" Bull Gap ","0.318E2","0.11E1","0.369E4","0.565E3"," C,W "
" Levelland Mt. ","0.322E2","0.4E0","0.3942E4","0.252E3"," None "
" Swaim Gap ","0.328E2","0.6E0","0.347E4","-0.472E3"," None "
" Rock Spring Top ","0.335E2","0.7E0","0.352E4","0.5E2"," W "
" Corbin Horse Stamp ","0.34E2","0.5E0","0.362E4","0.1E3"," None "
" Wolf Laurel Top ","0.341E2","0.1E0","0.3766E4","0.146E3"," None "
" Baggs Creek Gap ","0.349E2","0.8E0","0.38E4","0.34E2"," C,W "
" Cowrock Mt. ","0.354E2","0.5E0","0.3842E4","0.42E2"," None "
" Tesnatee Gap, GA 348 ","0.362E2","0.8E0","0.3138E4","-0.704E3"," None "
" Wildcat Mt. ","0.367E2","0.5E0","0.35E4","0.362E3"," None "
" Whitley Gap Shelter (pic) ","0.369E2","0.2E0","0.337E4","-0.13E3"," S*,W* "
" Hogpen Gap, GA 348 ","0.371E2","0.2E0","0.345E4","0.8E2"," W"
" White Oak Stamp ","0.38E2","0.9E0","0.347E4","0.2E2"," None "
" Poor Mt. ","0.39E2","0.1E1","0.362E4","0.15E3"," None "
" Sheep Rock Top ","0.407E2","0.17E1","0.36E4","-0.2E2"," None "
" Low Gap Shelter (pic) ","0.415E2","0.8E0","0.305E4","-0.55E3"," S,W "
" Poplar Stamp Gap ","0.429E2","0.14E1","0.299E4","-0.6E2","C,W "
" Cold Springs Gap ","0.453E2","0.24E1","0.33E4","0.31E3"," None "
" Chattahoochee Gap ","0.465E2","0.12E1","0.35E4","0.2E3"," W* "
" Red Clay Gap ","0.471E2","0.6E0","0.3485E4","-0.15E2"," None "
" campsite ","0.478E2","0.7E0","0.36E4","0.115E3","C "
" spring ","0.48E2","0.2E0","0.35E4","-0.1E3"," W "
" Blue Mt. Shelter (pic) ","0.487E2","0.7E0","0.39E4","0.4E3"," S,W "
" Blue Mt. ","0.495E2","0.8E0","0.4025E4","0.125E3"," None "
" Unicoi Gap, GA 75 ","0.509E2","0.14E1","0.2949E4","-0.1076E4"," None "
" stream ","0.515E2","0.6E0","0.33E4","0.351E3"," W "
" Rocky Mt. ","0.522E2","0.7E0","0.4017E4","0.717E3"," C "
" Indian Grave Gap, USFS 283 ","0.535E2","0.13E1","0.3113E4","-0.904E3"," None "
" Tray Mt. Road, USFS 79 ","0.542E2","0.7E0","0.358E4","0.467E3"," None "
" Cheese Factory Site ","0.545E2","0.3E0","0.359E4","0.1E2"," C,W"
" Tray Gap, Tray Mt. Road ","0.553E2","0.8E0","0.3847E4","0.257E3"," None "
