"name","springdist","distprev","elevation","elevationdiff","amenities","links"
" Springer Mt. ","0.0","0.0","0.3782E4","0.0"," None ","<a href=""http://www.summitpost.org/mountain/rock/151895/springer-mountain.html"">Springer Mt.</a>"
" Springer Mt. Shelter (pic) ","0.2E0","0.2E0","0.373E4","-0.52E2"," S,C,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=Springer"">Springer Mt. Shelter</a><a href=""http://www.whiteblaze.net/atdatabase/shelters/images/1116.jpg"">pic</a>"
" USFS 42 ","0.1E1","0.8E0","0.335E4","-0.38E3"," None ",""
" Stover Creek Shelter (pic) ","0.28E1","0.18E1","0.287E4","-0.48E3"," S, W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=StoverCrk"">Stover Creek Shelter</a><a href=""http://whiteblaze.net/forum/vbg/files/1/6/4/1/DSCN0461.JPG"">pic</a>"
" Stover Creek ","0.38E1","0.1E1","0.266E4","-0.21E3"," W ",""
" Three Forks, USFS 58 ","0.43E1","0.5E0","0.253E4","-0.13E3"," C, W ","<a href=""http://2.bp.blogspot.com/_qoImU6KwvUs/TSAr1qqII0I/AAAAAAAAAMc/MomciAivdHs/s1600/Appalachian+Trail+trip+2009+063.JPG"">Three Forks, USFS 58</a>"
" Trail to Long Creek Falls ","0.51E1","0.8E0","0.28E4","0.27E3"," W ","<a href=""http://www.summitpost.org/image/216145/382122/long-creek-falls.html"">Long Creek Falls</a>"
" Logging Road ","0.6E1","0.9E0","0.3E4","0.2E3"," None ",""
" Hawk Mountain Shelter (pic) ","0.78E1","0.18E1","0.32E4","0.2E3"," S, W* ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=HawkMtn"">Hawk Mountain Shelter</a><a href=""http://www.panoramio.com/photo/8842569"">pic</a>"
" Hightower Gap, USFS 42/69 ","0.83E1","0.5E0","0.2854E4","-0.346E3"," None ","<a href=""http://assets.alltrails.com/uploads/photo/image/10184611/extra_large_e72b38a21ec68bfee0d611f2ec20bc34.jpg"">Hightower Gap, USFS 42/69</a>"
" Horse Gap ","0.102E2","0.19E1","0.2673E4","-0.181E3"," None ","<a href=""http://farm3.static.flickr.com/2103/3538610901_be600a8d77_b.jpg"">Horse Gap</a>"
" Sassafras Mt. ","0.112E2","0.1E1","0.33E4","0.627E3"," None ","<a href=""http://www.summitpost.org/mountain/rock/198668/sassafras-mountain.html"">Sassafras Mt.</a>"
" Cooper Gap, USFS 42/80 ","0.118E2","0.6E0","0.28E4","-0.5E3"," None ","<a href=""http://outdoors.webshots.com/photo/1081269865039041315wlvnLn"">Cooper Gap, USFS 42/80</a>"
" Justus Mt. ","0.124E2","0.6E0","0.3224E4","0.424E3"," None ","<a href=""http://picasaweb.google.com/BruceJOConnor/ATGoochGapCooperGapGA#5319747356239288690"">Justus Mt.</a>"
" Justus Creek ","0.138E2","0.14E1","0.255E4","-0.674E3"," C,W ","<a href=""http://picasaweb.google.com/lh/photo/HpSRdiqytpOl8_W9pSNzxQ"">Justus Creek</a>"
" Gooch Mountain Shelter (pic) ","0.151E2","0.13E1","0.3E4","0.45E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=GoochMtn"">Gooch Mountain Shelter</a><a href=""http://whiteblaze.net/forum/vbg/files/4/1/ga_-_gooch_mountain_shelter.jpg"">pic</a>"
" Gooch Gap, USFS 42 ","0.165E2","0.14E1","0.2784E4","-0.216E3"," W ","<a href=""http://www.summitpost.org/image/304140/312338/morning-in-gooch-gap.html"">Gooch Gap, USFS 42</a>"
" Ramrock Mt. ","0.187E2","0.22E1","0.326E4","0.476E3"," None ","<a href=""http://www.flickr.com/photos/tsd/3806159170/"">Ramrock Mt.</a>"
" Woody Gap, GA 60 ","0.201E2","0.14E1","0.315E4","-0.11E3"," W ","<a href=""http://www.panoramio.com/photo/22465809"">Woody Gap, GA 60</a>"
