"name","springdist","distprev","elevation","elevationdiff","elevationloss","elevationgain","shelterdist","amenities"
"Springer Mountain Shelter","0.16","0.0","1134.4","0.0","-0.18","0.0","0.07","0.07 mi from trail. Campground, Spring nearby, but water might be scarce in dry weather--gb, 167"
"Stover Creek Shelter","2.65","2.49","883.16","-251.24","-2.06","0.0","0.01","0.01 mi from trail. Campground, Water can be acquired from Stover Creek--JK"
"Hawk Mountain Shelter","7.87","5.22","978.26","95.1","-2.56","0.0","0.09","0.09 mi from trail. Campground, Water can be found about 400 yds behind shelter--gb, 169"
"Gooch Mountain Shelter","16.93","9.06","851.0","-127.26","-0.59","0.0","0.04","0.04 mi from trail. Campground, A spring is approx 0.2 mi S of shelter, directly on the AT--gb, 157"
"Woods Hole Shelter","27.44","10.51","1133.19","282.19","-1.77","0.0","0.2","0.2 mi from trail. Campground, No water at shelter; spring (may be dry) is midway between AT and shelter; relia"
"Blood Mountain Shelter","29.51","2.07","1343.63","210.44","-1.77","2.25","0.0","0.0 mi from trail. Campground, Blood Mtn Shelter may be closed in future, check w/ USFS or ATC; no water--gb, 1"
"Whitley Gap Shelter","38.51","9.0","1084.22","-259.41","0.0","3.99","0.91","0.91 mi from trail. Campground, 1.2 mi. SSE of AT down steep blue blaze trail. Spring 0.3 mi. behind shelter,141"
"Low Gap Shelter","43.05","4.53","935.91","-148.31","-0.92","1.73","0.05","0.05 mi from trail. Campground, Spring is nearby--gb, 138, 142"
"Blue Mountain Shelter","50.31","7.26","1099.93","164.02","-4.0","0.0","0.04","0.04 mi from trail. Campground, Water supply for shelter is about 0.1 mi S of shelter on W side of AT--2000 Comp"
"Tray Mountain Shelter","58.17","7.86","1233.84","133.91","-19.9","0.0","0.06","0.06 mi from trail. Campground, Spring is approx 800 ft downhill to right of shelter--gb, 134"
"Deep Gap Shelter","65.39","7.21","1080.75","-153.09","-19.9","0.0","0.21","0.21 mi from trail. Campground, Spring is on side trail betweeen AT and shelter--gb, 134"
"Plumorchard Gap Shelter","73.25","7.87","944.53","-136.23","-4.11","0.0","0.13","0.13 mi from trail. Campground, Shelter has water; a second spring is located 0.1 mi from AT on side trail to W"
"Muskrat Creek Shelter","80.43","7.18","1401.82","457.3","-1.21","0.0","0.02","0.02 mi from trail. Campground, Stream adjacent to shelter; a latrine is uphill to left of shelter--gb, 112"
"Standing Indian Shelter","85.0","4.57","1437.2","35.38","-0.18","0.82","0.02","0.02 mi from trail. Campground, The stream near shelter has been reliable--gb, 104"
"Carter Gap Shelter (old)","92.6","7.6","1330.08","-107.12","-25.17","0.82","0.02","0.02 mi from trail. Campground, The old Carter Gap shelter is still in use; spring is downhill behind shelter--g"
"Carter Gap Shelter (new)","92.65","0.06","1305.42","-24.66","-25.37","0.0","0.02","0.02 mi from trail. Campground, Blue blazes lead E to new shelter; water from spring on side trail to W, behind"
"Big Spring Shelter","99.4","6.74","1520.1","214.68","-0.2","3.0","0.04","0.04 mi from trail. Campground, Spring (usually reliable) is 75 ft from shelter--gb, 108"
"Rock Gap Shelter","104.59","5.2","1169.35","-350.75","-1.69","3.0","0.02","0.02 mi from trail. Campground, Water from usually reliable spring--gb, 104"
"Siler Bald Shelter","112.66","8.07","1496.07","326.71","-4.17","0.0","0.16","0.16 mi from trail. Campground, Located on 1.1 mi blue-blazed loop trail; spring is 300 ft south of shelter on t"
"Cold Spring Shelter","124.39","11.72","1517.83","21.76","-2.48","0.79","0.0","0.0 mi from trail. Campground, Shelter and spring are on AT; Campsites are on ridge above shelter--gb, 97"
"Wesser Bald Shelter","130.01","5.62","1148.16","-369.67","-2.66","0.79","0.02","0.02 mi from trail. Campground, Water is available from spring 0.1 mi S on the AT(near sharp turn) and then 125"
"A. Rufus Morgan Shelter","134.62","4.61","641.88","-506.28","-2.94","0.0","0.01","0.01 mi from trail. Campground, Shelter is 200 ft to E of AT; stream on W of AT--gb, 93"
"Sassafras Gap Shelter","142.02","7.4","1371.02","729.14","-0.28","5.16","0.04","0.04 mi from trail. Campground, A spring is located behind the shelter--gb, 89-90"
"Brown Fork Gap Shelter","151.1","9.09","1084.17","-286.85","-0.28","5.16","0.08","0.08 mi from trail. Campground, Privy is located below shelter--gb, 84; spring is downhill to right of shelter"
"Cable Gap Shelter","157.19","6.09","911.75","-172.43","-0.28","8.56","0.01","0.01 mi from trail. Campground, Adjacent spring. A privy is close to shelter--gb, 80."
"Fontana Dam Shelter","163.42","6.23","525.61","-386.14","-4.63","8.56","0.08","0.08 mi from trail. Campground, AT passes picnic area and side trail leading E 300 ft to Fontana Dam Shelter--gb"
"Mollies Ridge Shelter","174.94","11.53","1377.69","852.09","-8.23","0.0","0.0","0.0 mi from trail. Campground, Spring is nearby--gb, 57"
"Russell Field Shelter","177.51","2.57","1329.25","-48.45","-3.6","0.87","0.0","0.0 mi from trail. Campground, Spring is 150 yds W on Russell Field Trail toward Cades Cove--gb, 57"
"Spence Field Shelter","180.06","2.55","1461.83","132.59","0.0","1.8","0.12","0.12 mi from trail. Campground, Privy and spring are nearby--gb, 61"
"Derrick Knob Shelter","186.44","6.38","1470.33","8.49","-1.5","0.94","0.01","0.01 mi from trail. Campground, Spring is 50 yds W (on Tennessee slope)--gb, 56"
"Silers Bald Shelter","191.89","5.46","1661.0","190.67","-1.5","0.85","0.0","0.0 mi from trail. Campground, AT edge of woods near shelter, side trail leads 100 yds W to spring--gb, 55"
"Double Spring Gap Shelter","193.62","1.73","1673.96","12.96","-2.64","0.85","0.01","0.01 mi from trail. Campground, This gap is named for two unreliable springs, one on each slope--gb, 54"
"Mt. Collins Shelter","200.04","6.41","1801.22","127.26","-15.5","0.0","0.23","0.23 mi from trail. Campground, Spring nearby gb, 232"
"Mount Le Conte Shelter","205.51","5.47","1767.97","-33.25","-12.86","0.52","2.69","2.69 mi from trail. "
"Kephart Shelter","207.1","1.59","1793.64","25.67","-7.23","0.52","1.47","1.47 mi from trail. "
"Icewater Spring Shelter","207.11","0.0","1796.32","2.69","-7.23","2.69","0.0","0.0 mi from trail. Campground, AT reaches Icewater Spring Shelter, to E of trail--gb,44; Spring is north of she"
"Pecks Corner Shelter","214.19","7.08","1650.77","-145.55","0.0","10.36","0.17","0.17 mi from trail. Campground, Spring nearby gb, 213"
"Tricorner Knob Shelter","219.67","5.49","1808.75","157.98","0.0","15.24","0.05","0.05 mi from trail. Campground, Spring is nearby--gb, 46"
"Laurel Gap Shelter","225.96","6.29","1462.03","-346.72","0.0","11.78","4.17","4.17 mi from trail. "
"Cosby Knob Shelter","227.23","1.27","1451.44","-10.59","0.0","6.8","0.06","0.06 mi from trail. Campground, Spring nearby--gb, 48"
"Davenport Gap Shelter","233.99","6.76","821.98","-629.46","-0.05","2.59","0.03","0.03 mi from trail. Campground, Spring is nearby--gb, 48"
"Groundhog Creek Shelter","244.46","10.47","912.95","90.97","-0.05","18.42","0.09","0.09 mi from trail. Campground, Water available at stream 100 yds from shelter--gb, 191"
"Roaring Fork Shelter","255.27","10.81","1070.23","157.27","-1.54","18.42","0.04","0.04 mi from trail. Campground, Spring and outhouse are nearby--gb, 186"
"Walnut Mountain Shelter","256.93","1.66","1277.11","206.89","-1.61","0.0","0.0","0.0 mi from trail. Campground, Walnut Mtn Shelter is not mentioned in the guidebook"
"Deer Park Mountain Shelter","266.48","9.54","710.43","-566.69","-5.58","0.0","0.05","0.05 mi from trail. Campground, Halfway to shelter on side trail is spring;usually requires cleaning due to slow"
"Spring Mountain Shelter","280.46","13.98","1088.52","378.09","-6.21","0.0","0.01","0.01 mi from trail. Campground, Alt.3300'; spring is 75 yds down NC side, opposite shelter--gb, 172"
"Little Laurel Shelter","289.25","8.79","1103.27","14.75","-0.7","4.11","0.01","0.01 mi from trail. Campground, Blue blazed trail to W bears diagonally 100 yds to spring--gb, 164"
"Jerry Cabin","295.82","6.57","1265.61","162.34","-1.25","4.11","0.0","0.0 mi from trail. Campground, Side trail opposite shelter leads 100 yds to good spring--gb, 166"
"Flint Mountain Shelter","301.59","5.78","1105.51","-160.1","-1.54","0.0","0.0","0.0 mi from trail. Campground, Latrine is 75 feet from shelter--gb, 167; water is on AT, just N of shelter"
"Hogback Ridge Shelter","311.03","9.43","1321.94","216.43","-0.29","1.82","0.09","0.09 mi from trail. Campground, Water is 440 ydswest of shelter; latrine is 300 ft E of shelter--gb, 153"
"Bald Mountain Shelter","320.0","8.97","1554.4","232.46","0.0","2.13","0.04","0.04 mi from trail. Campground, Area around shelter is too fragile for camping; spring is 50' off side trail fro"
"No Business Knob Shelter","330.34","10.34","970.3","-584.1","0.0","1.32","0.02","0.02 mi from trail. Campground, Alt. 3180'; No water at shelter; nearest water is 400 yds S on AT--gb, 137"
"Curley Maple Gap Shelter","340.43","10.09","936.09","-34.21","0.0","1.12","0.01","0.01 mi from trail. Campground, Spring is 100 ft to right of shelter"
"Cherry Gap Shelter","352.54","12.11","1212.99","276.9","-2.4","0.11","0.0","0.0 mi from trail. Campground, Spring is in hollow on blue blazed trail 250 ft W--gb, 130"
"Clyde Smith Shelter","361.4","8.87","1356.28","143.29","-13.24","0.0","0.11","0.11 mi from trail. Campground, Spring is 100 yds beyond shelter--gb, 118"
"Roan High Knob Shelter","367.68","6.28","1884.03","527.75","-10.84","1.37","0.04","0.04 mi from trail. Campground, Alt. 6285'; Highest shelter on AT, originally a fire warden's cabin, spring w/in"
"Stan Murray Shelter","371.98","4.3","1535.8","-348.23","0.0","1.8","0.0","0.0 mi from trail. Campground, Alt. 5050'; AT reaches shelter in Low Gap; spring is 100 yds E of AT on blue bla"
"Overmountain Shelter","373.4","1.42","1457.58","-78.22","0.0","1.81","0.12","0.12 mi from trail. Campground, Shelter is known on some trail maps as Yellow Mountain Barn; water available--gb"
"Apple House Shelter","381.58","8.18","925.28","-532.3","-8.41","1.37","0.01","0.01 mi from trail. Campground, Level ground near the shelter provides a good space for tents; water nearby--gb,"
"Moreland Gap Shelter","395.78","14.21","1170.41","245.13","-8.41","2.29","0.0","0.0 mi from trail. Campground, Alt. 3813'; spring is short distance down hollow opposite shelter--gb, 92"
"Laurel Fork Shelter","402.78","7.0","632.63","-537.78","0.0","8.49","0.06","0.06 mi from trail. Campground, Water available 150 ft from shelter--gb, 75"
"Watauga Lake Shelter","409.86","7.08","634.44","1.81","-1.03","6.21","0.01","0.01 mi from trail. Campground, Water available--gb, 69"
"Vandeventer Shelter","416.58","6.72","1086.63","452.19","-1.94","0.0","0.0","0.0 mi from trail. Campground, Water is 0.5 mi W on side trail; behind shelter cliffs allow view across Watauga"
"Iron Mountain Shelter","423.45","6.87","1249.01","162.37","-0.91","3.01","0.01","0.01 mi from trail. Campground, No water at shelter; water located 0.2 mi S of shelter on AT--gb, 62"
"Double Springs Shelter","431.17","7.72","1240.17","-8.83","-1.01","3.01","0.0","0.0 mi from trail. Campground, Shelter on W side of AT in draw; spring is 100 yds down draw--gb, 55"
